Upper tier local authorities Code,Upper tier local authorities,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E06000035,Medway,4,Household is deprived in three dimensions,4326
E06000035,Medway,5,Household is deprived in four dimensions,391
E06000036,Bracknell Forest,-8,Does not apply,0
E06000036,Bracknell Forest,1,Household is not deprived in any dimension,28327
E06000036,Bracknell Forest,2,Household is deprived in one dimension,15641
E06000036,Bracknell Forest,3,Household is deprived in two dimensions,5132
E06000036,Bracknell Forest,4,Household is deprived in three dimensions,1069
E06000036,Bracknell Forest,5,Household is deprived in four dimensions,79
E06000037,West Berkshire,-8,Does not apply,0
E06000037,West Berkshire,1,Household is not deprived in any dimension,37321
E06000037,West Berkshire,2,Household is deprived in one dimension,21058
E06000037,West Berkshire,3,Household is deprived in two dimensions,6829
E06000037,West Berkshire,4,Household is deprived in three dimensions,1365
E06000037,West Berkshire,5,Household is deprived in four dimensions,85
E06000038,Reading,-8,Does not apply,0
E06000038,Reading,1,Household is not deprived in any dimension,34684
E06000038,Reading,2,Household is deprived in one dimension,21772
E06000038,Reading,3,Household is deprived in two dimensions,8682
E06000038,Reading,4,Household is deprived in three dimensions,2350
E06000038,Reading,5,Household is deprived in four dimensions,195
E06000039,Slough,-8,Does not apply,0
E06000039,Slough,1,Household is not deprived in any dimension,22184
E06000039,Slough,2,Household is deprived in one dimension,19176
E06000039,Slough,3,Household is deprived in two dimensions,8603
E06000039,Slough,4,Household is deprived in three dimensions,2293
E06000039,Slough,5,Household is deprived in four dimensions,168
E06000040,Windsor and Maidenhead,-8,Does not apply,0
E06000040,Windsor and Maidenhead,1,Household is not deprived in any dimension,35924
E06000040,Windsor and Maidenhead,2,Household is deprived in one dimension,18161
E06000040,Windsor and Maidenhead,3,Household is deprived in two dimensions,5724
E06000040,Windsor and Maidenhead,4,Household is deprived in three dimensions,1071
E06000040,Windsor and Maidenhead,5,Household is deprived in four dimensions,53
E06000041,Wokingham,-8,Does not apply,0
E06000041,Wokingham,1,Household is not deprived in any dimension,42518
E06000041,Wokingham,2,Household is deprived in one dimension,20173
E06000041,Wokingham,3,Household is deprived in two dimensions,5513
E06000041,Wokingham,4,Household is deprived in three dimensions,900
E06000041,Wokingham,5,Household is deprived in four dimensions,60
E06000042,Milton Keynes,-8,Does not apply,0
E06000042,Milton Keynes,1,Household is not deprived in any dimension,57966
E06000042,Milton Keynes,2,Household is deprived in one dimension,36777
E06000042,Milton Keynes,3,Household is deprived in two dimensions,14442
E06000042,Milton Keynes,4,Household is deprived in three dimensions,3653
E06000042,Milton Keynes,5,Household is deprived in four dimensions,264
E06000043,Brighton and Hove,-8,Does not apply,0
E06000043,Brighton and Hove,1,Household is not deprived in any dimension,58122
E06000043,Brighton and Hove,2,Household is deprived in one dimension,40060
E06000043,Brighton and Hove,3,Household is deprived in two dimensions,17461
E06000043,Brighton and Hove,4,Household is deprived in three dimensions,5195
E06000043,Brighton and Hove,5,Household is deprived in four dimensions,563
E06000044,Portsmouth,-8,Does not apply,0
E06000044,Portsmouth,1,Household is not deprived in any dimension,40658
E06000044,Portsmouth,2,Household is deprived in one dimension,28802
E06000044,Portsmouth,3,Household is deprived in two dimensions,12890
E06000044,Portsmouth,4,Household is deprived in three dimensions,3524
E06000044,Portsmouth,5,Household is deprived in four dimensions,281
E06000045,Southampton,-8,Does not apply,0
E06000045,Southampton,1,Household is not deprived in any dimension,46401
E06000045,Southampton,2,Household is deprived in one dimension,35075
E06000045,Southampton,3,Household is deprived in two dimensions,15830
E06000045,Southampton,4,Household is deprived in three dimensions,4573
E06000045,Southampton,5,Household is deprived in four dimensions,412
E06000046,Isle of Wight,-8,Does not apply,0
E06000046,Isle of Wight,1,Household is not deprived in any dimension,28569
E06000046,Isle of Wight,2,Household is deprived in one dimension,23476
E06000046,Isle of Wight,3,Household is deprived in two dimensions,10070
E06000046,Isle of Wight,4,Household is deprived in three dimensions,2465
E06000046,Isle of Wight,5,Household is deprived in four dimensions,195
E06000047,County Durham,-8,Does not apply,0
E06000047,County Durham,1,Household is not deprived in any dimension,104412
E06000047,County Durham,2,Household is deprived in one dimension,79207
E06000047,County Durham,3,Household is deprived in two dimensions,39903
E06000047,County Durham,4,Household is deprived in three dimensions,10931
E06000047,County Durham,5,Household is deprived in four dimensions,308
E06000049,Cheshire East,-8,Does not apply,0
E06000049,Cheshire East,1,Household is not deprived in any dimension,95796
E06000049,Cheshire East,2,Household is deprived in one dimension,55229
E06000049,Cheshire East,3,Household is deprived in two dimensions,19584
E06000049,Cheshire East,4,Household is deprived in three dimensions,4086
E06000049,Cheshire East,5,Household is deprived in four dimensions,161
E06000050,Cheshire West and Chester,-8,Does not apply,0
E06000050,Cheshire West and Chester,1,Household is not deprived in any dimension,80756
E06000050,Cheshire West and Chester,2,Household is deprived in one dimension,49835
E06000050,Cheshire West and Chester,3,Household is deprived in two dimensions,19598
E06000050,Cheshire West and Chester,4,Household is deprived in three dimensions,4721
E06000050,Cheshire West and Chester,5,Household is deprived in four dimensions,246
E06000051,Shropshire,-8,Does not apply,0
E06000051,Shropshire,1,Household is not deprived in any dimension,70872
E06000051,Shropshire,2,Household is deprived in one dimension,47508
E06000051,Shropshire,3,Household is deprived in two dimensions,17359
E06000051,Shropshire,4,Household is deprived in three dimensions,3697
E06000051,Shropshire,5,Household is deprived in four dimensions,143
E06000052,Cornwall,-8,Does not apply,0
E06000052,Cornwall,1,Household is not deprived in any dimension,115522
E06000052,Cornwall,2,Household is deprived in one dimension,88881
E06000052,Cornwall,3,Household is deprived in two dimensions,36692
E06000052,Cornwall,4,Household is deprived in three dimensions,8750
E06000052,Cornwall,5,Household is deprived in four dimensions,690
E06000053,Isles of Scilly,-8,Does not apply,0
E06000053,Isles of Scilly,1,Household is not deprived in any dimension,478
E06000053,Isles of Scilly,2,Household is deprived in one dimension,337
E06000053,Isles of Scilly,3,Household is deprived in two dimensions,106
E06000053,Isles of Scilly,4,Household is deprived in three dimensions,21
E06000053,Isles of Scilly,5,Household is deprived in four dimensions,0
E06000054,Wiltshire,-8,Does not apply,0
E06000054,Wiltshire,1,Household is not deprived in any dimension,114886
