Upper tier local authorities Code,Upper tier local authorities,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
W06000013,Bridgend,3,Household is deprived in two dimensions,10372
W06000013,Bridgend,4,Household is deprived in three dimensions,3104
W06000013,Bridgend,5,Household is deprived in four dimensions,91
W06000014,Vale of Glamorgan,-8,Does not apply,0
W06000014,Vale of Glamorgan,1,Household is not deprived in any dimension,29294
W06000014,Vale of Glamorgan,2,Household is deprived in one dimension,18575
W06000014,Vale of Glamorgan,3,Household is deprived in two dimensions,7648
W06000014,Vale of Glamorgan,4,Household is deprived in three dimensions,1866
W06000014,Vale of Glamorgan,5,Household is deprived in four dimensions,68
W06000015,Cardiff,-8,Does not apply,0
W06000015,Cardiff,1,Household is not deprived in any dimension,72088
W06000015,Cardiff,2,Household is deprived in one dimension,46638
W06000015,Cardiff,3,Household is deprived in two dimensions,21326
W06000015,Cardiff,4,Household is deprived in three dimensions,6862
W06000015,Cardiff,5,Household is deprived in four dimensions,419
W06000016,Rhondda Cynon Taf,-8,Does not apply,0
W06000016,Rhondda Cynon Taf,1,Household is not deprived in any dimension,43372
W06000016,Rhondda Cynon Taf,2,Household is deprived in one dimension,34175
W06000016,Rhondda Cynon Taf,3,Household is deprived in two dimensions,19521
W06000016,Rhondda Cynon Taf,4,Household is deprived in three dimensions,6066
W06000016,Rhondda Cynon Taf,5,Household is deprived in four dimensions,203
W06000018,Caerphilly,-8,Does not apply,0
W06000018,Caerphilly,1,Household is not deprived in any dimension,32079
W06000018,Caerphilly,2,Household is deprived in one dimension,25365
W06000018,Caerphilly,3,Household is deprived in two dimensions,14321
W06000018,Caerphilly,4,Household is deprived in three dimensions,4358
W06000018,Caerphilly,5,Household is deprived in four dimensions,134
W06000019,Blaenau Gwent,-8,Does not apply,0
W06000019,Blaenau Gwent,1,Household is not deprived in any dimension,11632
W06000019,Blaenau Gwent,2,Household is deprived in one dimension,10104
W06000019,Blaenau Gwent,3,Household is deprived in two dimensions,6291
W06000019,Blaenau Gwent,4,Household is deprived in three dimensions,2256
W06000019,Blaenau Gwent,5,Household is deprived in four dimensions,57
W06000020,Torfaen,-8,Does not apply,0
W06000020,Torfaen,1,Household is not deprived in any dimension,17016
W06000020,Torfaen,2,Household is deprived in one dimension,13738
W06000020,Torfaen,3,Household is deprived in two dimensions,7241
W06000020,Torfaen,4,Household is deprived in three dimensions,2166
W06000020,Torfaen,5,Household is deprived in four dimensions,80
W06000021,Monmouthshire,-8,Does not apply,0
W06000021,Monmouthshire,1,Household is not deprived in any dimension,21144
W06000021,Monmouthshire,2,Household is deprived in one dimension,13592
W06000021,Monmouthshire,3,Household is deprived in two dimensions,5031
W06000021,Monmouthshire,4,Household is deprived in three dimensions,1115
W06000021,Monmouthshire,5,Household is deprived in four dimensions,43
W06000022,Newport,-8,Does not apply,0
W06000022,Newport,1,Household is not deprived in any dimension,30293
W06000022,Newport,2,Household is deprived in one dimension,21796
W06000022,Newport,3,Household is deprived in two dimensions,10572
W06000022,Newport,4,Household is deprived in three dimensions,3204
W06000022,Newport,5,Household is deprived in four dimensions,189
W06000023,Powys,-8,Does not apply,0
W06000023,Powys,1,Household is not deprived in any dimension,29223
W06000023,Powys,2,Household is deprived in one dimension,20871
W06000023,Powys,3,Household is deprived in two dimensions,8317
W06000023,Powys,4,Household is deprived in three dimensions,1713
W06000023,Powys,5,Household is deprived in four dimensions,58
W06000024,Merthyr Tydfil,-8,Does not apply,0
W06000024,Merthyr Tydfil,1,Household is not deprived in any dimension,10364
W06000024,Merthyr Tydfil,2,Household is deprived in one dimension,8578
W06000024,Merthyr Tydfil,3,Household is deprived in two dimensions,4955
W06000024,Merthyr Tydfil,4,Household is deprived in three dimensions,1811
W06000024,Merthyr Tydfil,5,Household is deprived in four dimensions,77
